date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2023-01-04,2023-01-04T09:17:00+05:30,2023-01-04T11:52:00+05:30,155.0,78.0,58.8,67.3,77.05,136.8,-943.75,127.64,-1071.39,Spot Move Exit (137pts > 137pts),1,14.56,18218.6992,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.345961223399048
2023-01-05,2023-01-05T09:17:00+05:30,2023-01-05T12:30:00+05:30,193.0,57.05,44.2,46.95,28.7,101.25,3200.0,116.45,3083.55,Spot Move Exit (104pts > 101pts),0,15.13,18061.25,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.892064906756882
2023-01-06,2023-01-06T09:17:00+05:30,2023-01-06T15:15:00+05:30,358.0,136.85,102.5,134.55,87.95,239.35,2106.25,150.11,1956.14,Time Exit (15:15),4,14.93,18005.5508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.758070572329107
2023-01-10,2023-01-10T09:17:00+05:30,2023-01-10T12:49:00+05:30,212.0,91.15,73.75,93.25,87.5,164.9,-1981.25,135.03,-2116.28,Spot Move Exit (166pts > 165pts),2,15.03,18055.8496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.994599461612621
2023-01-11,2023-01-11T09:17:00+05:30,2023-01-11T15:15:00+05:30,358.0,79.95,86.05,61.3,62.15,166.0,5318.75,130.5,5188.25,Time Exit (15:15),1,15.81,17876.5996,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.80707241943957
2023-01-12,2023-01-12T09:17:00+05:30,2023-01-12T11:12:00+05:30,115.0,68.2,45.65,46.25,43.25,113.85,3043.75,119.56,2924.19,Spot Move Exit (115pts > 114pts),0,15.51,17915.3496,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,22.44682745075528
2023-01-17,2023-01-17T09:17:00+05:30,2023-01-17T15:15:00+05:30,358.0,93.35,93.6,77.3,67.45,186.95,5275.0,135.52,5139.48,Time Exit (15:15),2,15.27,17893.1504,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.49221077584973
2023-01-18,2023-01-18T09:17:00+05:30,2023-01-18T15:15:00+05:30,358.0,79.45,61.7,54.6,45.55,141.15,5125.0,124.7,5000.3,Time Exit (15:15),1,14.75,18063.4492,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.4347037907065
2023-01-20,2023-01-20T09:17:00+05:30,2023-01-20T15:15:00+05:30,358.0,113.2,94.95,94.3,90.85,208.15,2875.0,142.16,2732.84,Time Exit (15:15),3,14.02,18102.5508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.2956877750427
2023-01-31,2023-01-31T09:17:00+05:30,2023-01-31T15:15:00+05:30,358.0,193.45,145.25,164.2,131.55,338.7,5368.75,171.66,5197.09,Time Exit (15:15),2,17.86,17685.5508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,31.19465849433371
