base_sl_pct,dynamic_sl,trail_trigger_pct,trail_lock_pct,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
15.0,False,60.0,20.0,48329.0,127,66.9,1304.99,-1490.35,1.77,-8165.46,2.56,"{0: 1329.5900000000008, 3: 16966.82, 4: 30032.59}","{'both_sl_hit': 62, 'hard_exit': 60, 'loss_limit': 3, 'profit_target': 2}"
30.0,True,40.0,10.0,47890.01,127,60.6,1643.8,-1573.65,1.61,-10264.37,2.08,"{0: 32140.21, 3: 3840.8099999999986, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 52, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
30.0,True,40.0,15.0,46538.64,127,60.6,1626.25,-1573.65,1.59,-10252.67,2.03,"{0: 30933.14, 3: 3696.5099999999993, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 52, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
30.0,True,60.0,10.0,46320.93,127,67.7,1326.82,-1653.31,1.68,-10405.0,2.17,"{0: 24439.48, 3: 8477.0, 4: 13404.449999999999}","{'both_sl_hit': 62, 'hard_exit': 56, 'profit_target': 5, 'loss_limit': 4}"
30.0,True,50.0,15.0,46179.19,127,63.0,1511.32,-1589.93,1.62,-9643.2,2.06,"{0: 23784.44, 3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 61, 'both_sl_hit': 54, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
30.0,True,40.0,20.0,44866.21,127,60.6,1604.53,-1573.65,1.57,-10506.82,1.96,"{0: 29756.01, 3: 3201.21, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 52, 'profit_target': 7, 'loss_limit': 4, 'combined_decay': 1}"
30.0,True,50.0,20.0,43642.26,127,63.0,1479.61,-1589.93,1.58,-9786.85,1.96,"{0: 22552.71, 3: 8546.81, 4: 12542.74}","{'hard_exit': 61, 'both_sl_hit': 55, 'profit_target': 6, 'loss_limit': 4, 'combined_decay': 1}"
25.0,True,50.0,10.0,43517.47,127,61.4,1543.53,-1568.94,1.57,-11745.7,1.96,"{0: 20083.36, 3: 10324.56, 4: 13109.55}","{'hard_exit': 60, 'both_sl_hit': 57, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
25.0,True,40.0,10.0,42412.47,127,59.1,1643.28,-1554.5,1.52,-13414.9,1.87,"{0: 26662.67, 3: 3840.8099999999986, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 54, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
25.0,True,60.0,10.0,41918.94,127,66.9,1316.51,-1666.3,1.6,-9471.27,1.98,"{0: 20037.489999999998, 3: 8477.0, 4: 13404.449999999999}","{'both_sl_hit': 65, 'hard_exit': 54, 'profit_target': 5, 'loss_limit': 3}"
25.0,True,40.0,15.0,41136.51,127,59.1,1626.27,-1554.5,1.51,-13403.2,1.82,"{0: 25531.01, 3: 3696.5099999999993, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 54, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
