Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
853,2023-06-14,,09:17:00,18737.4,,,,,2023-06-14,,15:01:00,18764.55,-1277.25,,,458.25,-1277.25,
853.1,2023-06-14,Wednesday,09:17:00,47.9,65,CE,18750.0,Sell,2023-06-14,Wednesday,15:01:00,57.5,-624.0000000000001,-20.04175365344468,2023-06-15,,,Stop Loss Hit
853.2,2023-06-14,Wednesday,09:17:00,50.2,65,PE,18750.0,Sell,2023-06-14,Wednesday,09:25:00,60.25,-653.2499999999998,-20.019920318725095,2023-06-15,,,Stop Loss Hit
854,2023-06-15,,09:17:00,18735.65,,,,,2023-06-15,,11:35:00,18718.25,-884.0,,,1439.75,-884.0,
854.1,2023-06-15,Thursday,09:17:00,27.85,65,CE,18750.0,Sell,2023-06-15,Thursday,09:46:00,33.4,-360.74999999999983,-19.928186714542182,2023-06-15,,,Stop Loss Hit
854.2,2023-06-15,Thursday,09:17:00,40.25,65,PE,18750.0,Sell,2023-06-15,Thursday,11:35:00,48.3,-523.2499999999998,-19.999999999999993,2023-06-15,,,Stop Loss Hit
855,2023-06-16,,09:17:00,18746.0,,,,,2023-06-16,,15:15:00,18823.0,991.25,,,1501.5,-848.25,Exit Condition Met For Trade
855.1,2023-06-16,Friday,09:17:00,93.15,65,CE,18750.0,Sell,2023-06-16,Friday,09:46:00,111.8,-1212.2499999999995,-20.021470746108417,2023-06-22,,,Stop Loss Hit
855.2,2023-06-16,Friday,09:17:00,73.9,65,PE,18750.0,Sell,2023-06-16,Friday,15:15:00,40.0,2203.5000000000005,45.87280108254398,2023-06-22,,,Exit Condition Met For Trade
856,2023-06-19,,09:17:00,18863.1,,,,,2023-06-19,,15:15:00,18760.5,1842.75,,,2658.5,-234.0,Exit Condition Met For Trade
856.1,2023-06-19,Monday,09:17:00,85.75,65,CE,18850.0,Sell,2023-06-19,Monday,15:15:00,44.7,2668.25,47.87172011661808,2023-06-22,,,Exit Condition Met For Trade
856.2,2023-06-19,Monday,09:17:00,63.4,65,PE,18850.0,Sell,2023-06-19,Monday,09:52:00,76.1,-825.4999999999998,-20.031545741324916,2023-06-22,,,Stop Loss Hit
857,2023-06-20,,09:17:00,18738.95,,,,,2023-06-20,,13:30:00,18757.4,-1670.5,,,1316.25,-1670.5,
857.1,2023-06-20,Tuesday,09:17:00,65.3,65,CE,18750.0,Sell,2023-06-20,Tuesday,13:30:00,78.35,-848.2499999999998,-19.984686064318527,2023-06-22,,,Stop Loss Hit
857.2,2023-06-20,Tuesday,09:17:00,63.2,65,PE,18750.0,Sell,2023-06-20,Tuesday,09:19:00,75.85,-822.2499999999994,-20.015822784810112,2023-06-22,,,Stop Loss Hit
858,2023-06-21,,09:17:00,18828.8,,,,,2023-06-21,,11:08:00,18812.6,-1361.75,,,858.0,-1361.75,
858.1,2023-06-21,Wednesday,09:17:00,41.45,65,CE,18850.0,Sell,2023-06-21,Wednesday,09:24:00,49.75,-539.4999999999998,-20.024125452352227,2023-06-22,,,Stop Loss Hit
858.2,2023-06-21,Wednesday,09:17:00,63.35,65,PE,18850.0,Sell,2023-06-21,Wednesday,11:08:00,76.0,-822.2499999999999,-19.96842936069455,2023-06-22,,,Stop Loss Hit
859,2023-06-22,,09:17:00,18850.95,,,,,2023-06-22,,12:06:00,18820.9,-968.5,,,747.5,-968.5,
859.1,2023-06-22,Thursday,09:17:00,34.55,65,CE,18850.0,Sell,2023-06-22,Thursday,09:25:00,41.45,-448.50000000000034,-19.97105643994213,2023-06-22,,,Stop Loss Hit
859.2,2023-06-22,Thursday,09:17:00,40.0,65,PE,18850.0,Sell,2023-06-22,Thursday,12:06:00,48.0,-520.0,-20.0,2023-06-22,,,Stop Loss Hit
860,2023-06-23,,09:17:00,18716.45,,,,,2023-06-23,,15:15:00,18666.85,1319.5,,,1543.75,-1404.0,Exit Condition Met For Trade
860.1,2023-06-23,Friday,09:17:00,117.0,65,CE,18700.0,Sell,2023-06-23,Friday,15:15:00,83.0,2210.0,29.05982905982906,2023-06-28,,,Exit Condition Met For Trade
860.2,2023-06-23,Friday,09:17:00,68.55,65,PE,18700.0,Sell,2023-06-23,Friday,09:28:00,82.25,-890.5000000000002,-19.985412107950406,2023-06-28,,,Stop Loss Hit
861,2023-06-26,,09:17:00,18680.35,,,,,2023-06-26,,15:15:00,18696.35,266.5,,,666.25,-1914.25,Exit Condition Met For Trade
861.1,2023-06-26,Monday,09:17:00,80.3,65,CE,18700.0,Sell,2023-06-26,Monday,09:35:00,96.35,-1043.2499999999998,-19.987546699875466,2023-06-28,,,Stop Loss Hit
861.2,2023-06-26,Monday,09:17:00,76.05,65,PE,18700.0,Sell,2023-06-26,Monday,15:15:00,55.9,1309.75,26.495726495726494,2023-06-28,,,Exit Condition Met For Trade
